Student_ID,Full_Name,Gender,Date_of_Birth,Age_at_Graduation,Nationality,State_of_Origin,Admission_Year,Graduation_Year,Graduation_Date,Department,Faculty,Program,Final_CGPA,Class_of_Degree,Graduation_Status,Honors_or_Awards
YCT00016,Chinelo Okafor,Female,2002-09-20,20,Nigerian,Zamfara,2020,2022,2022-05-07,HND Business Administration,Management Sciences,HND Business Administration,3.32,Upper Credit,Graduated,
YCT00017,Michael Ibe,Male,1997-05-13,24,Nigerian,Sokoto,2019,2021,2021-05-08,ND Business Administration,Management Sciences,ND Business Administration,2.99,Lower Credit,Graduated,
YCT00018,Fatima Ogunleye,Female,2004-08-28,19,Nigerian,Enugu,2021,2023,2023-12-09,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,1.19,Fail,Fail out,
YCT00019,Ifeoma Ajayi,Female,1999-01-15,22,Nigerian,Jigawa,2019,2021,2021-02-21,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,3.93,Distinction,Graduated,Best Graduating Student
YCT00020,Abike Eze,Female,1999-06-15,26,Nigerian,Oyo,2023,2025,2025-04-13,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,0.14,Fail,Fail out,
YCT00021,Patrick Musa,Male,2002-06-09,21,Nigerian,Enugu,2021,2023,2023-12-12,ND Business Administration,Management Sciences,ND Business Administration,2.11,Pass,Graduated,
YCT00022,Folashade Osagie,Female,2004-07-01,19,Nigerian,Taraba,2021,2023,2023-09-16,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,3.24,Upper Credit,Graduated,
YCT00023,Chukwuemeka Okoro,Male,2002-07-05,19,Nigerian,Cross River,2019,2021,2021-07-08,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,1.13,Fail,Fail out,
YCT00024,Ngozi Sani,Female,2001-05-13,23,Nigerian,Niger,2022,2024,2024-09-03,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,0.81,Fail,Fail out,
YCT00025,Tunde Adedeji,Male,2000-06-24,22,Nigerian,Ekiti,2020,2022,2022-01-05,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,0.13,Fail,Fail out,
YCT00026,Ifeoma Bello,Female,1999-05-09,20,Nigerian,Cross River,2017,2019,2019-01-11,ND Accountancy,Management Sciences,ND Accountancy,3.61,Distinction,Graduated,Dean's List
YCT00027,Tolulope Abimbola,Female,1998-07-10,23,Nigerian,Lagos,2019,2021,2021-04-22,ND Computer Science,Science,ND Computer Science,3.94,Distinction,Graduated,Best Graduating Student
YCT00028,Ifeoma Abimbola,Female,1997-12-06,27,Nigerian,Kwara,2022,2024,2024-06-06,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,1.54,Fail,Fail out,
YCT00029,Uche Adeoye,Male,1995-06-18,27,Nigerian,Anambra,2020,2022,2022-06-03,ND Business Administration,Management Sciences,ND Business Administration,3.6,Distinction,Graduated,Dean's List
YCT00030,Emeka Eze,Male,1993-01-09,27,Nigerian,Ondo,2018,2020,2020-01-02,HND Business Administration,Management Sciences,HND Business Administration,3.86,Distinction,Graduated,Best Graduating Student
YCT00031,Oluseyi Jimoh,Male,1998-11-24,25,Nigerian,Adamawa,2021,2023,2023-08-09,ND Science Laboratory Technology,Science,ND Science Laboratory Technology,3.71,Distinction,Graduated,Dean's List
YCT00032,Temitope Adebayo,Male,1997-02-10,24,Nigerian,FCT,2019,2021,2021-08-07,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,3.85,Distinction,Graduated,Best Graduating Student
YCT00033,Mercy Bello,Female,1999-08-08,25,Nigerian,Ekiti,2022,2024,2024-10-01,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,3.15,Upper Credit,Graduated,
YCT00034,Fatima Abimbola,Female,2005-03-15,20,Nigerian,Adamawa,2023,2025,2025-08-02,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,0.92,Fail,Fail out,
YCT00035,Chinedu Olawale,Male,1998-10-02,27,Nigerian,Cross River,2023,2025,2025-05-08,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,1.48,Fail,Fail out,
YCT00036,Abimbola Lawal,Female,2000-07-13,22,Nigerian,Osun,2020,2022,2022-04-17,ND Architecture,Environmental Design,ND Architecture,3.55,Distinction,Graduated,Dean's List
YCT00037,Abimbola Ebong,Female,1999-02-24,20,Nigerian,Adamawa,2017,2019,2019-11-25,ND Accountancy,Management Sciences,ND Accountancy,1.88,Fail,Fail out,
YCT00038,David Kolawole,Male,2003-09-03,21,Nigerian,Gombe,2022,2024,2024-10-11,ND Computer Science,Science,ND Computer Science,1.79,Fail,Fail out,
YCT00039,Rasheedat Okoro,Female,2003-05-08,21,Nigerian,Oyo,2022,2024,2024-09-21,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,2.05,Pass,Graduated,
YCT00040,Ifeoma Jimoh,Female,2006-07-14,18,Nigerian,Bayelsa,2022,2024,2024-12-19,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,2.53,Lower Credit,Graduated,
YCT00041,Sulaiman Jimoh,Male,1998-05-28,22,Nigerian,Nasarawa,2018,2020,2020-07-03,HND Business Administration,Management Sciences,HND Business Administration,0.54,Fail,Fail out,
YCT00042,Uche Okoye,Male,2001-01-27,23,Nigerian,Taraba,2022,2024,2024-09-12,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,0.58,Fail,Fail out,
YCT00043,Abike Okafor,Female,1999-09-24,22,Nigerian,Oyo,2019,2021,2021-03-19,HND Architecture,Environmental Design,HND Architecture,0.35,Fail,Fail out,
YCT00044,Chinedu Oyedepo,Male,1998-02-23,27,Nigerian,Rivers,2023,2025,2025-04-20,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,1.95,Fail,Fail out,
YCT00045,Rasheedat Kolawole,Female,1998-10-04,26,Nigerian,Adamawa,2022,2024,2024-10-23,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,2.85,Lower Credit,Graduated,
YCT00046,Michael Okonkwo,Male,1997-05-11,25,Nigerian,Bauchi,2020,2022,2022-06-28,ND Architecture,Environmental Design,ND Architecture,1.47,Fail,Fail out,
YCT00047,Rasheedat Ibrahim,Female,2000-12-11,25,Nigerian,Ekiti,2023,2025,2025-02-16,HND Accountancy,Management Sciences,HND Accountancy,0.43,Fail,Fail out,
YCT00048,Ngozi Nwachukwu,Female,1994-12-12,26,Nigerian,Enugu,2018,2020,2020-11-21,HND Computer Science,Science,HND Computer Science,1.04,Fail,Fail out,
YCT00049,Samuel Oladele,Male,1998-10-12,24,Nigerian,Bauchi,2020,2022,2022-01-26,HND Computer Science,Science,HND Computer Science,3.54,Distinction,Graduated,Dean's List
YCT00050,Ifeoma Lawal,Female,2000-10-12,22,Nigerian,Zamfara,2020,2022,2022-05-25,HND Business Administration,Management Sciences,HND Business Administration,3.55,Distinction,Graduated,Dean's List
YCT00051,Abimbola Osho,Female,2004-01-04,19,Nigerian,Borno,2021,2023,2023-11-17,HND Business Administration,Management Sciences,HND Business Administration,1.41,Fail,Fail out,
YCT00052,Folashade Ali,Female,2001-06-14,19,Nigerian,Ondo,2018,2020,2020-07-05,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,3.02,Upper Credit,Graduated,
YCT00053,Chinedu Ebong,Male,2004-01-20,19,Nigerian,Niger,2021,2023,2023-11-15,ND Accountancy,Management Sciences,ND Accountancy,1.05,Fail,Fail out,
YCT00054,Abimbola Lawal,Female,2004-12-05,20,Nigerian,Rivers,2022,2024,2024-09-26,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,0.18,Fail,Fail out,
YCT00055,John Abubakar,Male,1999-09-08,25,Nigerian,Kano,2022,2024,2024-10-14,ND Science Laboratory Technology,Science,ND Science Laboratory Technology,2.77,Lower Credit,Graduated,
YCT00056,Patrick Bello,Male,2003-10-07,22,Nigerian,Plateau,2023,2025,2025-04-02,ND Science Laboratory Technology,Science,ND Science Laboratory Technology,2.63,Lower Credit,Graduated,
YCT00057,Tolulope Ogunbiyi,Female,2000-04-23,22,Nigerian,Akwa Ibom,2020,2022,2022-01-09,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,1.49,Fail,Fail out,
YCT00058,Tolulope Adedeji,Female,2001-09-17,23,Nigerian,Kebbi,2022,2024,2024-12-12,ND Computer Science,Science,ND Computer Science,0.35,Fail,Fail out,
YCT00059,Emeka Olawale,Male,2001-07-16,22,Nigerian,Gombe,2021,2023,2023-03-06,ND Accountancy,Management Sciences,ND Accountancy,3.28,Upper Credit,Graduated,
YCT00060,Patrick Ibrahim,Male,1998-04-09,25,Nigerian,Ekiti,2021,2023,2023-04-16,ND Computer Science,Science,ND Computer Science,0.68,Fail,Fail out,
YCT00061,Amaka Olatunji,Female,2005-03-09,19,Nigerian,Zamfara,2022,2024,2024-08-08,ND Business Administration,Management Sciences,ND Business Administration,1.09,Fail,Fail out,
YCT00062,Femi Ahmed,Male,1997-12-10,24,Nigerian,Sokoto,2019,2021,2021-07-03,HND Architecture,Environmental Design,HND Architecture,0.93,Fail,Fail out,
YCT00063,Emeka Eze,Male,1997-07-17,27,Nigerian,Ogun,2022,2024,2024-02-03,ND Architecture,Environmental Design,ND Architecture,1.02,Fail,Fail out,
YCT00064,Mercy Bello,Female,1997-07-24,27,Nigerian,Abia,2022,2024,2024-06-03,ND Accountancy,Management Sciences,ND Accountancy,1.93,Fail,Fail out,
YCT00065,Blessing Okoro,Female,2000-11-28,21,Nigerian,Bayelsa,2019,2021,2021-01-07,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,2.7,Lower Credit,Graduated,
YCT00066,Hadiza Okechukwu,Female,1997-10-24,22,Nigerian,Anambra,2017,2019,2019-09-28,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,0.58,Fail,Fail out,
YCT00067,Yetunde Ebong,Female,1999-08-14,23,Nigerian,Bauchi,2020,2022,2022-02-26,ND Architecture,Environmental Design,ND Architecture,2.7,Lower Credit,Graduated,
YCT00068,John Oloruntoba,Male,1997-12-12,22,Nigerian,Osun,2017,2019,2019-02-02,ND Computer Science,Science,ND Computer Science,3.5,Distinction,Graduated,Dean's List
YCT00069,Seun Okonkwo,Male,1994-10-17,25,Nigerian,Borno,2017,2019,2019-07-17,ND Business Administration,Management Sciences,ND Business Administration,3.99,Distinction,Graduated,Gold Medalist
YCT00070,Chibuzor Adebayo,Male,2003-07-17,19,Nigerian,Yobe,2020,2022,2022-03-13,HND Accountancy,Management Sciences,HND Accountancy,3.45,Upper Credit,Graduated,Dean's List
YCT00071,Folashade Abimbola,Female,1995-05-21,26,Nigerian,Abia,2019,2021,2021-07-17,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,3.78,Distinction,Graduated,Dean's List
YCT00072,Folashade Abubakar,Female,1996-09-15,24,Nigerian,Bauchi,2018,2020,2020-08-23,ND Architecture,Environmental Design,ND Architecture,2.45,Pass,Graduated,
YCT00073,Chukwuemeka Ahmed,Male,2001-05-17,19,Nigerian,Anambra,2018,2020,2020-10-02,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,1.12,Fail,Fail out,
YCT00074,Oluseyi Jimoh,Male,2004-08-14,21,Nigerian,Oyo,2023,2025,2025-06-03,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,3.02,Upper Credit,Graduated,
YCT00075,Abdullahi Echendu,Male,1998-10-18,24,Nigerian,Benue,2020,2022,2022-03-01,ND Computer Science,Science,ND Computer Science,2.0,Pass,Graduated,
YCT00076,Patrick Abimbola,Male,1995-08-06,27,Nigerian,Katsina,2020,2022,2022-08-07,ND Architecture,Environmental Design,ND Architecture,0.23,Fail,Fail out,
YCT00077,Patrick Oyedepo,Male,1996-01-26,27,Nigerian,Cross River,2021,2023,2023-02-24,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,2.37,Pass,Graduated,
YCT00078,Chinelo Musa,Female,1999-11-15,24,Nigerian,Jigawa,2021,2023,2023-08-12,HND Architecture,Environmental Design,HND Architecture,2.07,Pass,Graduated,
YCT00079,Ugochi Balogun,Female,1998-03-18,24,Nigerian,Kaduna,2020,2022,2022-10-23,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,2.9,Lower Credit,Graduated,
YCT00080,Samuel Ahmed,Male,1997-01-06,22,Nigerian,Edo,2017,2019,2019-12-24,HND Business Administration,Management Sciences,HND Business Administration,1.28,Fail,Fail out,
YCT00081,Abike Ali,Female,1996-07-05,27,Nigerian,Yobe,2021,2023,2023-11-24,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,2.89,Lower Credit,Graduated,
YCT00082,Chiamaka Balogun,Female,1999-09-24,21,Nigerian,Adamawa,2018,2020,2020-05-08,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,2.89,Lower Credit,Graduated,
YCT00083,Yetunde Saleh,Female,1996-04-16,23,Nigerian,Kano,2017,2019,2019-02-23,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,2.23,Pass,Graduated,
YCT00084,Tolulope Ogunlana,Female,1997-07-22,25,Nigerian,FCT,2020,2022,2022-12-16,HND Architecture,Environmental Design,HND Architecture,3.4,Upper Credit,Graduated,Dean's List
YCT00085,Emeka Ibrahim,Male,1999-05-08,20,Nigerian,Kano,2017,2019,2019-09-21,HND Business Administration,Management Sciences,HND Business Administration,3.88,Distinction,Graduated,Best Graduating Student
YCT00086,Abike Onyeka,Female,1993-11-16,26,Nigerian,Ogun,2017,2019,2019-06-22,ND Business Administration,Management Sciences,ND Business Administration,0.31,Fail,Fail out,
YCT00087,Temitope Bello,Male,2000-06-19,20,Nigerian,Ogun,2018,2020,2020-12-28,HND Business Administration,Management Sciences,HND Business Administration,3.24,Upper Credit,Graduated,
YCT00088,Christy Ali,Female,1998-09-19,25,Nigerian,Ondo,2021,2023,2023-08-15,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,2.54,Lower Credit,Graduated,
YCT00089,Esther Ogunlana,Female,2001-12-08,23,Nigerian,Katsina,2022,2024,2024-12-21,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,2.91,Lower Credit,Graduated,
YCT00090,Ifeoma Abubakar,Female,2001-11-18,20,Nigerian,Kogi,2019,2021,2021-11-28,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,3.52,Distinction,Graduated,Dean's List
YCT00091,Samuel Okonkwo,Male,2006-08-14,19,Nigerian,Delta,2023,2025,2025-03-09,HND Architecture,Environmental Design,HND Architecture,1.36,Fail,Fail out,
YCT00092,Emeka Oladele,Male,2000-04-04,21,Nigerian,Gombe,2019,2021,2021-06-16,HND Business Administration,Management Sciences,HND Business Administration,0.97,Fail,Fail out,
YCT00093,Ọláchukwu Onyeka,Female,1997-04-09,22,Nigerian,Kwara,2017,2019,2019-02-17,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,3.21,Upper Credit,Graduated,
YCT00094,Tunde Balogun,Male,1997-05-19,24,Nigerian,Gombe,2019,2021,2021-09-15,HND Architecture,Environmental Design,HND Architecture,1.75,Fail,Fail out,
YCT00095,Uche Ahmed,Male,1995-06-15,26,Nigerian,Taraba,2019,2021,2021-04-15,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,2.48,Pass,Graduated,
YCT00096,Femi Bello,Male,1996-10-04,25,Nigerian,Rivers,2019,2021,2021-12-09,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,2.74,Lower Credit,Graduated,
YCT00097,Tolulope Adebayo,Female,2000-10-24,19,Nigerian,Jigawa,2017,2019,2019-02-25,ND Computer Science,Science,ND Computer Science,0.76,Fail,Fail out,
YCT00098,Rasheedat Onyeka,Female,1995-04-23,26,Nigerian,Cross River,2019,2021,2021-07-05,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,3.2,Upper Credit,Graduated,
YCT00099,Abike Ibrahim,Female,1995-07-24,25,Nigerian,FCT,2018,2020,2020-02-24,ND Science Laboratory Technology,Science,ND Science Laboratory Technology,2.16,Pass,Graduated,
YCT00100,Temitope Ogunbiyi,Male,2001-08-17,23,Nigerian,Nasarawa,2022,2024,2024-09-23,HND Accountancy,Management Sciences,HND Accountancy,3.1,Upper Credit,Graduated,
YCT00101,Uche Ebong,Male,1993-11-20,26,Nigerian,Niger,2017,2019,2019-03-05,ND Science Laboratory Technology,Science,ND Science Laboratory Technology,3.81,Distinction,Graduated,Dean's List
YCT00102,Sulaiman Adeoye,Male,1996-08-01,25,Nigerian,Cross River,2019,2021,2021-10-21,HND Business Administration,Management Sciences,HND Business Administration,0.98,Fail,Fail out,
YCT00103,Chiamaka Onyeka,Female,2003-09-18,19,Nigerian,Imo,2020,2022,2022-01-03,HND Architecture,Environmental Design,HND Architecture,3.7,Distinction,Graduated,Dean's List
YCT00104,Hadiza Nwachukwu,Female,2004-12-23,20,Nigerian,Anambra,2022,2024,2024-04-02,HND Accountancy,Management Sciences,HND Accountancy,3.27,Upper Credit,Graduated,
YCT00105,Mercy Ahmed,Female,2002-04-12,22,Nigerian,Lagos,2022,2024,2024-01-04,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,0.27,Fail,Fail out,
YCT00106,Folashade Ahmed,Female,2006-06-06,19,Nigerian,Lagos,2023,2025,2025-02-19,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,2.76,Lower Credit,Graduated,
YCT00107,Rasheedat Nwachukwu,Female,2006-06-13,18,Nigerian,Cross River,2022,2024,2024-03-24,ND Business Administration,Management Sciences,ND Business Administration,0.33,Fail,Fail out,
YCT00108,Aisha Oyedepo,Female,1997-09-09,27,Nigerian,Oyo,2022,2024,2024-11-28,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,2.02,Pass,Graduated,
YCT00109,Tobiloba Oladele,Male,2000-10-06,23,Nigerian,Bayelsa,2021,2023,2023-10-04,HND Computer Science,Science,HND Computer Science,1.3,Fail,Fail out,
YCT00110,Ifeoma Ibe,Female,2003-01-21,21,Nigerian,Rivers,2022,2024,2024-08-28,ND Architecture,Environmental Design,ND Architecture,0.8,Fail,Fail out,
YCT00111,Oluseyi Yakubu,Male,1995-05-21,24,Nigerian,Niger,2017,2019,2019-07-02,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,1.53,Fail,Fail out,
YCT00112,Esther Enahoro,Female,2000-01-02,21,Nigerian,Kogi,2019,2021,2021-02-08,ND Accountancy,Management Sciences,ND Accountancy,2.43,Pass,Graduated,
YCT00113,Patrick Okechukwu,Male,1998-07-06,27,Nigerian,Kwara,2023,2025,2025-05-27,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,0.75,Fail,Fail out,
YCT00114,Uche Okechukwu,Male,2005-06-16,20,Nigerian,Edo,2023,2025,2025-07-09,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,2.8,Lower Credit,Graduated,
YCT00115,Blessing Olawale,Female,1995-02-27,25,Nigerian,Anambra,2018,2020,2020-04-26,ND Architecture,Environmental Design,ND Architecture,3.09,Upper Credit,Graduated,
YCT00116,Oluseyi Ali,Male,2005-06-20,18,Nigerian,Ekiti,2021,2023,2023-03-26,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,2.45,Pass,Graduated,
YCT00117,Hadiza Jimoh,Female,2002-04-08,18,Nigerian,Katsina,2018,2020,2020-08-06,ND Science Laboratory Technology,Science,ND Science Laboratory Technology,3.0,Upper Credit,Withheld,
YCT00118,Ugochi Onyeka,Female,2003-10-19,19,Nigerian,Jigawa,2020,2022,2022-10-10,HND Business Administration,Management Sciences,HND Business Administration,0.09,Fail,Fail out,
YCT00119,Amaka Okafor,Female,2000-10-10,20,Nigerian,Ebonyi,2018,2020,2020-10-07,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,2.66,Lower Credit,Graduated,
YCT00120,Tunde Okechukwu,Male,2000-11-12,20,Nigerian,FCT,2018,2020,2020-05-17,HND Accountancy,Management Sciences,HND Accountancy,3.65,Distinction,Graduated,Dean's List
YCT00121,Rasheedat Yakubu,Female,1998-09-18,26,Nigerian,Oyo,2022,2024,2024-01-14,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,2.34,Pass,Graduated,
YCT00122,Ugochi Okoye,Female,2005-06-17,19,Nigerian,Akwa Ibom,2022,2024,2024-11-13,HND Computer Science,Science,HND Computer Science,2.52,Lower Credit,Graduated,
YCT00123,Mercy Nwachukwu,Female,2000-01-02,20,Nigerian,Edo,2018,2020,2020-12-24,HND Accountancy,Management Sciences,HND Accountancy,2.41,Pass,Graduated,
YCT00124,Michael Echendu,Male,1995-06-07,26,Nigerian,Kaduna,2019,2021,2021-09-19,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,2.93,Lower Credit,Graduated,
YCT00125,Tunde Ogunlana,Male,2005-11-25,20,Nigerian,Kogi,2023,2025,2025-05-03,ND Science Laboratory Technology,Science,ND Science Laboratory Technology,0.88,Fail,Fail out,
YCT00126,Abimbola Osho,Female,1999-08-12,24,Nigerian,Akwa Ibom,2021,2023,2023-12-14,HND Architecture,Environmental Design,HND Architecture,2.31,Pass,Graduated,
YCT00127,Christy Ibrahim,Female,1998-06-18,24,Nigerian,Cross River,2020,2022,2022-03-24,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,0.23,Fail,Fail out,
YCT00128,Aisha Ogunlana,Female,2004-02-16,18,Nigerian,Plateau,2020,2022,2022-11-16,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,1.65,Fail,Fail out,
YCT00129,Sulaiman Abimbola,Male,2001-08-28,18,Nigerian,Osun,2017,2019,2019-07-06,ND Architecture,Environmental Design,ND Architecture,1.66,Fail,Fail out,
YCT00130,Michael Sani,Male,2003-03-08,20,Nigerian,Niger,2021,2023,2023-12-13,HND Architecture,Environmental Design,HND Architecture,1.72,Fail,Fail out,
YCT00131,Amaka Oloruntoba,Female,1997-05-21,24,Nigerian,Kano,2019,2021,2021-07-02,HND Business Administration,Management Sciences,HND Business Administration,2.84,Lower Credit,Graduated,
YCT00132,Ifeanyi Musa,Male,2001-04-13,23,Nigerian,Osun,2022,2024,2024-10-22,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,2.66,Lower Credit,Graduated,
YCT00133,Rasheedat Abubakar,Female,1995-11-21,26,Nigerian,Kaduna,2019,2021,2021-03-28,ND Architecture,Environmental Design,ND Architecture,3.43,Upper Credit,Graduated,Dean's List
YCT00134,Ugochi Jimoh,Female,1999-01-21,23,Nigerian,Ebonyi,2020,2022,2022-04-28,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,3.03,Upper Credit,Graduated,
YCT00135,Sulaiman Adebayo,Male,1994-10-04,26,Nigerian,Adamawa,2018,2020,2020-01-03,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,1.21,Fail,Fail out,
YCT00136,Uche Ahmed,Male,1997-08-18,25,Nigerian,Oyo,2020,2022,2022-06-15,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,1.91,Fail,Fail out,
YCT00137,Emeka Lawal,Male,1993-05-12,27,Nigerian,Plateau,2018,2020,2020-07-10,HND Architecture,Environmental Design,HND Architecture,1.33,Fail,Fail out,
YCT00138,Oluseyi Ibe,Male,1997-01-08,24,Nigerian,Imo,2019,2021,2021-06-05,ND Accountancy,Management Sciences,ND Accountancy,3.55,Distinction,Graduated,Dean's List
YCT00139,Michael Sani,Male,2000-04-09,25,Nigerian,Delta,2023,2025,2025-05-25,ND Computer Science,Science,ND Computer Science,1.56,Fail,Fail out,
YCT00140,Abimbola Okafor,Female,1996-08-02,27,Nigerian,FCT,2021,2023,2023-08-20,ND Computer Science,Science,ND Computer Science,2.26,Pass,Graduated,
YCT00141,Seun Utomi,Male,1993-10-17,26,Nigerian,Kaduna,2017,2019,2019-05-12,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,2.82,Lower Credit,Graduated,
YCT00142,Patrick Ajayi,Male,2000-03-05,24,Nigerian,Taraba,2022,2024,2024-10-01,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,3.99,Distinction,Graduated,Gold Medalist
YCT00143,Oluseyi Ibrahim,Male,1998-02-21,21,Nigerian,Kebbi,2017,2019,2019-10-03,ND Accountancy,Management Sciences,ND Accountancy,1.52,Fail,Fail out,
YCT00144,Tobiloba Musa,Male,1996-11-14,23,Nigerian,Jigawa,2017,2019,2019-01-09,HND Accountancy,Management Sciences,HND Accountancy,0.46,Fail,Fail out,
